order,family,scientificName,CITES,IUCN,MADS,Endemic,PreservedSpecimen,MachineObservation,HumanObservation
Artiodactyla,Cervidae,"Mazama rufina (Pucheran, 1851)",,VU,VU,"",10,704,
Artiodactyla,Cervidae,"Mazama sanctaemartae Anthony, 1913",,,,"",,610,
Artiodactyla,Cervidae,"Mazama temama (Kerr, 1792)",III/NC,DD,,"",,334,
Artiodactyla,Cervidae,"Mazama zetta Thomas, 1913",,,,"",,445,
Artiodactyla,Cervidae,"Odocoileus cariacou (Boddaert, 1784)",,,,"",4,70,
Artiodactyla,Cervidae,"Odocoileus goudotii (Gay & Gervais, 1846)",,,,"",2,363,
Artiodactyla,Cervidae,"Odocoileus virginianus (Zimmermann, 1780)",III/NC,LC,,"",,38,7
Artiodactyla,Cervidae,"Passalites nemorivagus (F. Cuvier, 1817)",,,,"",,3,
Artiodactyla,Cervidae,"Pudu mephistophiles (de Winton, 1896)",II,DD,EN,"",,1,
Artiodactyla,Tayassuidae,"Dicotyles tajacu (Linnaeus, 1758)",,,,"",6,3115,10
Artiodactyla,Tayassuidae,"Tayassu pecari (Link, 1795)",II,VU,EN,"",5,4186,11
Carnivora,Canidae,"Atelocynus microtis (Sclater, 1883)",,NT,,"",,27,
Carnivora,Canidae,"Cerdocyon thous (Linnaeus, 1766)",II,LC,,"",14,1668,4
Carnivora,Canidae,"Lycalopex culpaeus (Molina, 1782)",II,LC,VU,"",,1,
Carnivora,Canidae,"Speothos venaticus (Lund, 1842)",I,NT,,"",,5,1
Carnivora,Canidae,"Urocyon cinereoargenteus (Schreber, 1775)",,LC,,"",1,1,
Carnivora,Felidae,"Herpailurus yagouaroundi (É. Geoffroy Saint-Hilaire, 1803)",I/II,LC,,"",,285,
Carnivora,Felidae,"Leopardus pardalis (Linnaeus, 1758)",I,LC,,"",10,1840,1
Carnivora,Felidae,"Leopardus tigrinus (Schreber, 1775)",I,VU,VU,"",3,204,
Carnivora,Felidae,"Leopardus wiedii (Schinz, 1821)",I,NT,,"",3,119,
Carnivora,Felidae,"Panthera onca (Linnaeus, 1758)",I,NT,VU,"",2,109,1
Carnivora,Felidae,"Puma concolor (Linnaeus, 1771)",I/II,LC,,"",3,442,1
Carnivora,Mephitidae,"Conepatus semistriatus (Boddaert, 1785)",,LC,,"",,493,
Carnivora,Mustelidae,"Eira barbara (Linnaeus, 1758)",III,LC,,"",7,1473,5
Carnivora,Mustelidae,"Galictis vittata (Schreber, 1776)",,LC,,"",,15,
Carnivora,Mustelidae,"Lontra longicaudis (Olfers, 1818)",I,NT,VU,"",2,11,2
Carnivora,Mustelidae,"Neogale frenata (H. Lichtenstein, 1831)",,,,"",14,41,
Carnivora,Mustelidae,"Pteronura brasiliensis (Gmelin, 1788)",I,EN,EN,"",,11,
Carnivora,Procyonidae,"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",,NT,VU,"",,4,
Carnivora,Procyonidae,"Nasua nasua (Linnaeus, 1766)",III/NC,LC,,"",15,863,18
Carnivora,Procyonidae,"Nasua olivacea (Gray, 1865)",,,,"",,218,
Carnivora,Procyonidae,"Potos flavus (Schreber, 1774)",III,LC,,"",21,31,3
Carnivora,Procyonidae,"Procyon cancrivorus (G.[Baron] Cuvier, 1798)",,LC,,"",7,970,
Carnivora,Ursidae,"Tremarctos ornatus (F.G. Cuvier, 1825)",I,VU,VU,"",18,4310,
Cetacea,Balaenopteridae,"Balaenoptera edeni Anderson, 1879",I,LC,,"",1,,
Cetacea,Balaenopteridae,"Balaenoptera musculus (Linnaeus, 1758)",I,EN,EN,"",1,,
Cetacea,Balaenopteridae,"Balaenoptera physalus (Linnaeus, 1758)",I,VU,EN,"",2,,
Cetacea,Delphinidae,"Pseudorca crassidens (Owen, 1846)",II,NT,,"",,,1
Cetacea,Delphinidae,"Stenella frontalis (G. Cuvier, 1829)",II,LC,,"",,,10
Cetacea,Delphinidae,"Tursiops truncatus (Montagu, 1821)",II,LC,,"",,,15
Chiroptera,Phyllostomidae,"Anoura cadenai Mantilla-Meluk & Baker, 2006",,DD,,"",18,,
Chiroptera,Phyllostomidae,"Anoura latidens Handley, 1984",,LC,,"",1,,
Chiroptera,Phyllostomidae,"Desmodus rotundus (É. Geoffroy, 1810)",,LC,,"",113,,
Chiroptera,Phyllostomidae,"Leptonycteris curasoae Miller, 1900",,VU,VU,"",8,,
Chiroptera,Phyllostomidae,"Lonchorhina mankomara Mantilla-Meluk & Montenegro, 2016",,,,"",3,,
Chiroptera,Phyllostomidae,"Lonchorhina marinkellei Hernandez-Camacho & Cadena-G., 1978",,VU,VU,"",1,,
Chiroptera,Phyllostomidae,"Lonchorhina orinocensis Linares & Ojasti, 1971",,VU,VU,"",7,,
Chiroptera,Phyllostomidae,"Vampyressa melissa Thomas, 1926",,VU,,"",4,,
Chiroptera,Phyllostomidae,"Vampyressa voragine Morales-Martínez, Rodríguez-Posada, & Ramírez-Chaves, 2021",,,,"",3,,
Chiroptera,Vespertilionidae,"Rhogeessa minutilla Miller, 1897",,VU,,"",1,,
Cingulata,Chlamyphoridae,"Cabassous centralis (Miller, 1899)",,DD,,"",,164,
Cingulata,Chlamyphoridae,"Cabassous unicinctus (Linnaeus, 1758)",,LC,VU,"",1,126,
Cingulata,Chlamyphoridae,"Priodontes maximus (Kerr, 1792)",I,VU,VU,"",1,198,3
Cingulata,Dasypodidae,"Dasypus novemcinctus Linnaeus, 1758",,LC,,"",21,4289,4
Cingulata,Dasypodidae,Dasypus pastasae (Thomas 1901),,,,"",,130,
Didelphimorphia,Didelphidae,"Caluromys lanatus (Olfers, 1818)",,LC,,"",,6,
Didelphimorphia,Didelphidae,"Didelphis marsupialis Linnaeus, 1758",,LC,,"",34,4940,
Didelphimorphia,Didelphidae,"Didelphis pernigra J.A. Allen, 1900",,LC,,"",14,555,
Didelphimorphia,Didelphidae,"Marmosa xerophila Handley & Gordon, 1979",,VU,EN,"",1,,
Didelphimorphia,Didelphidae,"Marmosops caucae (Thomas, 1900)",,LC,,"",15,,
Didelphimorphia,Didelphidae,Marmosops chucha Diaz-Nieto and Voss 2016,,,,"",6,,
Didelphimorphia,Didelphidae,"Marmosops magdalenae Díaz-Nieto & Voss, 2016",,,,"",1,,
Didelphimorphia,Didelphidae,"Metachirus nudicaudatus (É. Geoffroy, 1803)",,LC,,"",,12,
Didelphimorphia,Didelphidae,"Philander andersoni (Osgood, 1913)",,LC,,"",,24,
Didelphimorphia,Didelphidae,"Philander opossum (Linnaeus, 1758)",,LC,,"",,64,
Eulipotyphla,Soricidae,"Cryptotis colombianus Woodman & Timm, 1993",,,,"",35,,
